Empresa;Área do Conhecimento;Subárea do Conhecimento
LUIS HENRIQUE GUILHERME;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
JOAO MARCELO ROBAZZI BIGNELLI VALENTE AGUIAR 33617689850;Zoologia;Comportamento Animal
MS Soluções Analíticas Pesquisa e Consultoria Eireli;Farmácia;Análise e Controle de Medicamentos
Nexxto Serviços em Tecnologia da Informação S/A;Ciência da Computação;Sistemas de Computação
Br4science Assessoria Técnica Científica Ltda;Medicina;Anatomia Patológica e Patologia Clínica
TR - Tecnologia em Radares Ltda;Geociências;Meteorologia
BIOO Artificial Intelligence em Tecnologia da Informação Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Verdaz Gestão Sustentável e Consultoria Ambiental Ltda (Verdaz);Engenharia Sanitária;Saneamento Ambiental
Luxtec Sistemas Ópticos Ltda;Física;Física da Matéria Condensada
DG Cunha Ensino Educacional;Educação;Ensino-aprendizagem
Yosen Indústria e Comércio de Produtos para Saúde Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Naiad Desenvolvimento Computacional de Fármacos Ltda;Farmacologia;Farmacologia Bioquímica e Molecular
Meteoia Datascience Ltda;Geociências;Meteorologia
Csense Tecnologia Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Bio Proj Tecnologia Ambiental Ltda;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias
TIH - Tecnologias de Interação Humana Ltda;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
ONKOS DIAGNOSTICOS MOLECULARES LTDA (FILIAL);Medicina;Anatomia Patológica e Patologia Clínica
Teccer Indústria e Comércio de Produtos Cerâmicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Reciclapac Soluções para Embalagens Ltda;Ciência da Computação;Sistemas de Computação
VIGILANTES DO SONO QUALIDADE DE VIDA E TECNOLOGIA LTDA;Saúde Coletiva;Saúde Pública
Nanopol Consultoria Tecnológica Ltda;Química;Química Orgânica
Foxwater Água e Saneamento Ltda;Microbiologia;Microbiologia Aplicada
Triplet soluções em Biotecnologia Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Forza Composites Tecnologia em Materiais Compósitos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Kairos Lab Ltda. - ME;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Nascimento Pesquisa, Desenvolvimento e Capacitação Profissional Ltda;Química;Físico-química
Bio Insumos e Diagnóstico Ltda;Microbiologia;Microbiologia Aplicada
Lace Serviços de Engenharia e Representação Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
TOVIESUR QUIMICA LTDA;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Gomez & Gomez Ltda. - ME;Ciência da Computação;Metodologia e Técnicas da Computação
Airton Juliano Damaceno - ME;Engenharia Sanitária;Saneamento Ambiental
Bind Pesquisa e Desenvolvimento Ltda;Farmácia;Análise e Controle de Medicamentos
Supply Comércio de Produtos Químicos Ltda;Agronomia;Ciência do Solo
CL Empreendimentos Biológicos Ltda. - EPP;Agronomia;Fitossanidade
Tech - Inovações Tecnológicas para a Agropecuária Ltda;Zootecnia;Produção Animal
Teccer Indústria e Comércio de Produtos Cerâmicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
In Situ Terapia Celular Ltda;Odontologia;Periodontia
Linax Indústria e Comércio de Óleos Essenciais Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Matriz Brasileira de Risco Agro Ltda;Economia;Economias Agrária e dos Recursos Naturais
BRL COMPANY LTDA;Zootecnia;Nutrição e Alimentação Animal
BASE VERDE PESQUISA EM BIOMASSA LTDA;Biofísica;Radiologia e Fotobiologia
Autaza Tecnologia S/A;Engenharia Mecânica;Processos de Fabricação
ICTIOLOGICA CONSULTORIA AMBIENTAL LTDA - ME;Recursos Pesqueiros e Engenharia de Pesca;Recursos Pesqueiros de Águas Interiores
Sofien Soluções Tecnológicas para Agroindústria Ltda;Engenharia Mecânica;Projetos de Máquinas
Villas Boas & Lopes Pesquisa Experimental Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Datamind Inteligência Artificial S/A;Ciência da Computação;Sistemas de Computação
Innolution Sistemas de Informática Ltda;Medicina;Clínica Médica
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Living Out Laboratório de Testes Celulares In Vitro Ltda;Farmácia;Análise Toxicológica
Shamah Mundi - Corretora e Administradora de Seguros Ltda;Ciência da Computação;Sistemas de Computação
Botanichemical Technologias Ltda;Agronomia;Fitossanidade
Geisa Lima Mesquita Zambrosi;Agronomia;Fitossanidade
Thiago Franco;Enfermagem;Enfermagem de Saúde Pública
MATHEUS APARECIDO PEREIRA CIPRIANO 21928910831;Microbiologia;Microbiologia Aplicada
Wetterlab Ltda;Geociências;Meteorologia
Navigandi Pesquisas e Desenvolvimento de Equipamentos Marítimos Ltda;Engenharia Naval e Oceânica;Tecnologia de Construção Naval e de Sistemas Oceânicos
Soluções e Instrumentações Avançadas Ltda. - ME;Engenharia Nuclear;Aplicações de Radioisótopos
Bynd Serviços de Tecnologia Ltda;Ciência da Computação;Matemática da Computação
Agromic Pesquisa, Produção e Comércio de Insumos Biológicos Ltda;Agronomia;Fitossanidade
ADB PESQUISA E DESENVOLVIMENTO LTDA;Química;Química Analítica
Wecare Desenvolvimento e Comércio de Medicamentos e Cosméticos Ltda;Farmácia;Farmacotecnia
Apexzymes Biotecnologia Ltda;Genética;Genética Molecular e de Microorganismos
Villas Boas & Lopes Pesquisa Experimental Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Bioallergy Pesquisa e Inovação em Imunoterapia Ltda;Farmácia;Análise e Controle de Medicamentos
Bioagrocert Soluções Agrícolas Ltda;Agronomia;Ciência do Solo
Wagner Wolff ME;Engenharia Agrícola;Engenharia de Água e Solo
Sigria Soluções em Investimentos e Empréstimos Rurais Ltda;Agronomia;Agrometeorologia
Rotar Empresa de Projetos Consultoria e Assessoria Ltda;Zoologia;Zoologia Aplicada
MTG Solutions Softwares de Otimização para Engenharia Ltda;Engenharia Elétrica;Circuitos Elétricos, Magnéticos e Eletrônicos
MC Supply Comércio, Importação, Exportação e Intermediação de Negócios Ltda;Engenharia Mecânica;Projetos de Máquinas
Opensense Informática Ltda;Economia;Métodos Quantitativos em Economia
T de Moraes Arquitetura;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo
AFH Soluções Tecnológicas Ltda;Agronomia;Fitossanidade
Justy Biosolutions Ltda;Microbiologia;Microbiologia Aplicada
ITS Integração Tecnologia e Soluções em Informática Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Actinobac Agrosciences Pesquisa e Desenvolvimento Ltda;Química;Química Orgânica
ITS Integração Tecnologia e Soluções em Informática Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Ecomol Consultoria e Projetos Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Konex Indústria e Comércio Ltda;Medicina;Radiologia Médica
Bevi Plastic Artefatos Plásticos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Subiter Tecnologia Ltda;Engenharia Mecânica;Engenharia Térmica
Acta Visio Desenvolvimento em Visão Computacional Ltda;Ciência da Computação;Sistemas de Computação
JTAG PECAS E EQUIPAMENTOS MEDICOS LTDA;Engenharia Biomédica;Engenharia Médica
Livre Montagem de Produtos Assistivos S/A;Engenharia de Transportes;Veículos e Equipamentos de Controle
Dungtech Biofertilizantes Ltda;Agronomia;Ciência do Solo
Ecomol Consultoria e Projetos Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Cromai Tecnologias Agrícolas Ltda;Ciência da Computação;Sistemas de Computação
Optarium Comércio de Artigos de Ótica Eireli - ME;Ciência da Computação;Sistemas de Computação
Cromai Tecnologias Agrícolas Ltda;Ciência da Computação;Sistemas de Computação
Genobiomas Biotecnologia Ltda;Microbiologia;Microbiologia Aplicada
Comptest Engenharia Ltda;Engenharia Civil;Construção Civil
Fullface Biometric Solutions Participações S/A;Ciência da Computação;Metodologia e Técnicas da Computação
Dipsie Engenharia e Software S/A;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
BRTech Soluções Tecnológicas Ltda;Engenharia Sanitária;Saneamento Ambiental
Vixphy - Soluções de Computação em Nuvem Ltda;Engenharia Elétrica;Telecomunicações
BTZ Tecnologia Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Valora Consultoria em Gestão Empresarial Ltda;Engenharia Sanitária;Saneamento Ambiental
H2O Company Gestão em Sustentabilidade Ltda. - ME;Engenharia Sanitária;Recursos Hídricos
Verum Brasil Comércio Alimentício Ltda;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Santa Martha Jardins Ltda. - ME;Engenharia Química;Processos Industriais de Engenharia Química
Marcelo Victor Pires Sousa Desenvolvimento Tecnológico Fotomedicina - ME;Biofísica;Radiologia e Fotobiologia
Agrobotz Tecnologia e Serviços Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
4tree Agroflorestal Ltda;Recursos Florestais e Engenharia Florestal;Silvicultura
Metamorphosis Biotechnology Pesquisas Científicas Eireli;Zootecnia;Nutrição e Alimentação Animal
Audax Electronics Ltda;Engenharia Agrícola;Construções Rurais e Ambiência
InCeres Desenvolvimento de Software e Processamento de Dados S/A;Agronomia;Ciência do Solo
Allagi Engenharia Ltda. - EPP;Administração;Administração de Empresas
Metal Chek do Brasil Indústria e Comércio Ltda;Engenharia Química;Tecnologia Química
Solve Biotechnology Ltda. - ME;Química;Química Analítica
N de Araujo Sellin Desenvolvimento de Sistemas;Ciência da Computação;Sistemas de Computação
Acosta Aeroespaço Engenharia e Serviços Especializados Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
TagmaVisions Treinamentos Digitais Ltda;Medicina;Cirurgia
Afinko Soluções em Polímeros Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Juan Harold Sosa Arnao;Engenharia Mecânica;Engenharia Térmica
Orion Soluções em Gestão Ltda. - EPP;Ciência da Computação;Metodologia e Técnicas da Computação
Biodiversita Serviços de Apoio Agrícola Ltda. - ME;Microbiologia;Microbiologia Aplicada
BOVCONTROL LTDA;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Eccaplan Consultoria em Desenvolvimento Sustentável Ltda. - ME;Engenharia Sanitária;Saneamento Ambiental
Aredes Equipamentos Hospitalares Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Geotecno Indústria e Comércio de Sistemas e Processos Automatizados Ltda. - ME;Engenharia Mecânica;Processos de Fabricação
Rubian Xtract Serviços Ltda;Nutrição;Bioquímica da Nutrição
DRSC Soluções Tecnológicas Inteligentes Ltda;Ciência da Computação;Sistemas de Computação
Itech Soluções Ltda. - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Gustavo Trindade Valio;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
No Tube Yes Color Inovação em Cosméticos Ltda;Engenharia Mecânica;Projetos de Máquinas
Medicina Nuclear de Campinas Ltda;Medicina;Radiologia Médica
Vert Pesquisa, Desenv. Experimental Ciências Físicas Naturais Ltda;Química;Química Analítica
Sardrones Aplicações e Serviços Agrícolas - Eireli;Engenharia Aeroespacial;Aerodinâmica
LUCA - Ciência para Educar Ltda. - ME;Educação;Ensino-aprendizagem
Presense - Pesquisa e Desenvolvimento Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Biotox Análises Ambientais Ltda. - ME;Ecologia;Ecologia Aplicada
Soudap Soldas Sanitárias Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
IDGeo Inteligência em Dados Geográficos Ltda;Geociências;Geografia Física
RK Indústria e Comércio Ltda;Ciência da Computação;Sistemas de Computação
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Eco Biotech Tecnologia em Manutenção Ltda. - ME;Microbiologia;Microbiologia Aplicada
Sureale Soluções em Tecnologia da Informação Ltda. - ME;Ciência da Computação;Sistemas de Computação
Caronetas Caronas Inteligentes Ltda. - ME;Engenharia de Transportes;Veículos e Equipamentos de Controle
Peixe do Mar Aquicultura Marinha Sustentável Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
NGS Soluções Genômicas Eireli - ME;Genética;Genética Molecular e de Microorganismos
Agertek Indústria e Comércio de Estruturas Eireli - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Developnow Projetos de Software e Eletrônica Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Agrientech Limitada;Agronomia;Fitossanidade
Simone Cristina Picchi;Agronomia;Fitossanidade
Lace Serviços de Engenharia e Representação Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Korin Agricultura e Meio Ambiente Ltda;Agronomia;
Natural Products & Technologies Ltda. - ME;Zootecnia;Nutrição e Alimentação Animal
IDGeo Inteligência em Dados Geográficos Ltda;Geociências;Geografia Física
MRA Indústria de Equipamentos Eletrônicos Ltda;Física;Física da Matéria Condensada
Carbosolo Desenvolvimento Agrícola Ltda;Agronomia;Ciência do Solo
Kidopi Soluções em Informática Médica Ltda (Kidopi);Ciência da Computação;Sistemas de Computação
Dentillo e Gavio Identificação e Quantificação Molecular Ltda. - ME;Saúde Coletiva;Saúde Pública
TEC3GEO Geotecnologias para o Meio Ambiente Ltda. - ME;Geociências;Geofísica
